,AGE,GENDER,CHILD_TOTAL,DEPENDANTS,SOCSTATUS_WORK_FL,SOCSTATUS_PENS_FL,PERSONAL_INCOME,AGREEMENT_RK,TARGET,LOAN_NUM_TOTAL_x,LOAN_NUM_TOTAL_y,LOAN_NUM_CLOSED
28,58,0,2,0,0,1,10500.0,63326150.0,0.0,1.0,1.0,1.0
29,35,0,1,1,1,0,15000.0,59911832.0,0.0,2.0,2.0,2.0
30,45,0,2,1,1,0,20000.0,66756441.0,0.0,4.0,4.0,4.0
31,25,1,0,0,1,0,9000.0,65405795.0,0.0,2.0,2.0,2.0
32,62,1,2,0,1,1,13000.0,62083785.0,0.0,1.0,1.0,1.0
33,30,1,1,1,1,0,11000.0,62128075.0,0.0,1.0,1.0,1.0
34,56,1,3,0,1,1,20000.0,61427836.0,0.0,1.0,1.0,1.0
36,36,1,1,1,1,0,15000.0,62599729.0,0.0,1.0,1.0,1.0
37,55,1,2,0,1,0,13000.0,62623117.0,0.0,1.0,1.0,1.0
38,29,0,1,1,1,0,25000.0,61253219.0,0.0,1.0,1.0,1.0
39,32,0,2,1,1,0,21000.0,63913234.0,0.0,1.0,1.0,1.0
40,36,0,1,1,1,0,15000.0,67020373.0,0.0,2.0,2.0,2.0
41,27,0,2,2,1,0,6500.0,61306799.0,0.0,1.0,1.0,1.0
42,41,0,3,2,1,0,10000.0,61378742.0,0.0,1.0,1.0,1.0
43,54,1,2,0,0,1,6500.0,67531672.0,0.0,1.0,1.0,1.0
44,52,0,1,0,1,0,30000.0,60468475.0,0.0,1.0,1.0,1.0
45,28,1,1,1,1,0,12000.0,66961178.0,0.0,1.0,1.0,1.0
46,26,1,1,1,1,0,8000.0,66902951.0,0.0,1.0,1.0,1.0
47,27,0,1,1,1,0,20000.0,61958864.0,0.0,1.0,1.0,1.0
48,28,0,0,0,1,0,12000.0,64564180.0,1.0,1.0,1.0,1.0
49,25,1,1,1,1,0,11000.0,61243509.0,0.0,1.0,1.0,1.0
50,39,1,2,2,1,0,8000.0,72289471.0,0.0,2.0,2.0,2.0
51,64,1,0,0,1,0,23000.0,66661261.0,1.0,1.0,1.0,1.0
52,43,0,1,1,1,0,20000.0,63907628.0,0.0,1.0,1.0,1.0
53,44,0,0,0,1,0,22000.0,65007484.0,0.0,1.0,1.0,1.0
55,34,1,2,2,1,0,15000.0,64335140.0,0.0,1.0,1.0,1.0
56,34,1,1,1,1,0,7000.0,66745524.0,1.0,2.0,2.0,2.0
57,51,1,1,0,1,0,7500.0,61938660.0,0.0,2.0,2.0,2.0
58,40,0,2,2,1,0,15000.0,75214244.0,0.0,1.0,1.0,1.0
59,27,0,1,1,1,0,12000.0,62094470.0,1.0,1.0,1.0,1.0
60,29,0,0,0,1,0,20000.0,59930422.0,0.0,1.0,1.0,1.0
62,42,1,2,2,1,0,11000.0,60098380.0,0.0,1.0,1.0,1.0
63,50,1,1,0,1,0,10000.0,62384561.0,0.0,1.0,1.0,1.0
64,26,0,1,1,1,0,15000.0,59962548.0,0.0,1.0,1.0,1.0
65,22,0,0,0,1,0,10000.0,61244949.0,1.0,1.0,1.0,1.0
66,57,0,2,1,1,1,23000.0,62249206.0,0.0,1.0,1.0,1.0
67,50,1,0,0,1,0,15000.0,62786543.0,0.0,1.0,1.0,1.0
69,35,0,1,1,1,0,12500.0,61423700.0,0.0,1.0,1.0,1.0
70,55,1,1,0,1,1,20000.0,66771811.0,0.0,2.0,2.0,2.0
71,34,0,0,1,1,0,12000.0,66670943.0,0.0,3.0,3.0,3.0
72,28,0,1,1,1,0,6000.0,62236055.0,0.0,1.0,1.0,1.0
73,59,0,3,0,1,0,17500.0,62593286.0,0.0,1.0,1.0,1.0
74,47,1,1,0,1,0,18000.0,66782719.0,0.0,3.0,3.0,3.0
75,41,1,2,2,1,0,9000.0,66432857.0,0.0,2.0,2.0,2.0
76,36,1,0,0,1,0,7000.0,66530733.0,1.0,2.0,2.0,2.0
77,55,0,0,0,1,0,18000.0,61467586.0,0.0,1.0,1.0,1.0
78,52,0,1,0,1,0,25000.0,61845475.0,0.0,1.0,1.0,1.0
79,46,0,2,0,1,0,30000.0,74995307.0,1.0,1.0,1.0,1.0
80,23,1,1,1,1,0,7000.0,59973701.0,0.0,1.0,1.0,1.0
81,23,1,0,0,1,0,9000.0,67321747.0,0.0,1.0,1.0,1.0
82,40,1,1,1,1,0,15000.0,64471913.0,0.0,1.0,1.0,1.0
83,36,1,3,3,1,0,11000.0,61231849.0,0.0,1.0,1.0,1.0
84,23,0,1,1,1,0,15000.0,63986090.0,0.0,1.0,1.0,1.0
85,40,1,1,0,1,0,25000.0,62024184.0,0.0,1.0,1.0,1.0
86,61,0,0,0,0,1,8500.0,66760003.0,0.0,3.0,3.0,3.0
87,48,0,0,0,1,0,9000.0,64551242.0,0.0,2.0,2.0,2.0
88,52,1,0,0,1,0,5000.0,61316755.0,0.0,1.0,1.0,1.0
89,41,0,1,1,1,0,40000.0,63094088.0,0.0,1.0,1.0,1.0
90,44,1,2,1,1,0,30000.0,67173594.0,1.0,2.0,2.0,2.0
92,36,1,3,3,1,0,8000.0,62799248.0,0.0,1.0,1.0,1.0
93,42,0,3,2,1,0,12000.0,62776533.0,0.0,1.0,1.0,1.0
94,22,1,0,1,1,0,14000.0,61236972.0,1.0,1.0,1.0,1.0
95,49,1,2,0,1,0,17000.0,60106019.0,0.0,1.0,1.0,1.0
97,39,1,2,2,1,0,5000.0,62809362.0,0.0,1.0,1.0,1.0
98,41,0,1,1,1,0,25000.0,61151593.0,0.0,1.0,1.0,1.0
99,63,1,2,0,0,1,6000.0,74190360.0,0.0,1.0,1.0,1.0
101,33,1,1,1,1,0,15000.0,62023684.0,0.0,1.0,1.0,1.0
102,38,0,1,1,1,0,16000.0,61079700.0,0.0,1.0,1.0,1.0
103,29,1,1,1,1,0,10000.0,72285109.0,0.0,1.0,1.0,1.0
104,49,1,1,1,1,0,8000.0,73827016.0,0.0,2.0,2.0,2.0
105,50,1,2,0,1,0,6000.0,61372316.0,0.0,1.0,1.0,1.0
106,48,0,0,0,1,0,12000.0,59939829.0,0.0,1.0,1.0,1.0
107,42,1,2,2,1,0,11000.0,64839795.0,0.0,1.0,1.0,1.0
108,39,0,1,1,1,0,18000.0,64563165.0,0.0,1.0,1.0,1.0
109,61,1,0,0,1,0,17000.0,66524810.0,0.0,2.0,2.0,2.0
110,42,1,2,2,1,0,14000.0,60096783.0,0.0,1.0,1.0,1.0
111,23,1,0,0,1,0,10000.0,65482083.0,0.0,2.0,2.0,2.0
112,28,1,0,0,1,0,15000.0,74467755.0,0.0,4.0,4.0,4.0
113,56,1,0,0,1,1,30000.0,64445162.0,0.0,1.0,1.0,1.0
114,28,1,1,1,1,0,18000.0,66700908.0,0.0,1.0,1.0,1.0
115,27,0,1,1,1,0,25000.0,61110489.0,0.0,1.0,1.0,1.0
116,46,1,1,0,1,0,11000.0,74544319.0,0.0,3.0,3.0,3.0
117,38,1,1,1,1,0,15000.0,64995451.0,0.0,1.0,1.0,1.0
118,35,1,2,2,1,0,8700.0,64827687.0,0.0,1.0,1.0,1.0
119,37,1,1,1,1,0,20000.0,67421931.0,1.0,1.0,1.0,1.0
120,49,0,2,1,1,0,15000.0,75017098.0,0.0,2.0,2.0,2.0
121,37,0,3,3,1,0,40000.0,74460711.0,1.0,2.0,2.0,2.0
122,36,1,2,2,1,0,20000.0,60086903.0,0.0,1.0,1.0,1.0
124,51,0,2,0,1,0,12000.0,61054691.0,0.0,1.0,1.0,1.0
125,47,1,0,0,1,0,10000.0,73830243.0,1.0,1.0,1.0,1.0
126,46,1,0,0,1,0,20000.0,75021931.0,0.0,1.0,1.0,1.0
127,28,1,1,1,1,0,55000.0,62590815.0,1.0,1.0,1.0,1.0
128,53,1,2,0,1,0,20000.0,60465966.0,0.0,1.0,1.0,1.0
129,26,0,1,1,1,0,9000.0,66420656.0,0.0,2.0,2.0,2.0
131,61,0,4,0,1,0,14000.0,66773911.0,1.0,2.0,2.0,2.0
132,48,1,2,0,1,0,7000.0,60466295.0,0.0,1.0,1.0,1.0
133,30,1,1,1,1,0,16000.0,61111863.0,0.0,1.0,1.0,1.0
134,22,0,1,0,1,0,20000.0,64898724.0,1.0,1.0,1.0,1.0
135,53,1,2,0,1,0,8000.0,61235487.0,0.0,1.0,1.0,1.0
136,56,1,1,0,1,0,11500.0,61299664.0,0.0,1.0,1.0,1.0
137,54,0,2,0,1,0,8000.0,62994403.0,0.0,1.0,1.0,1.0
138,40,0,1,1,1,0,35000.0,67322945.0,0.0,1.0,1.0,1.0
139,56,0,1,0,0,1,9000.0,67426389.0,0.0,1.0,1.0,1.0
140,46,1,0,0,1,0,9000.0,61302471.0,0.0,1.0,1.0,1.0
141,52,1,0,0,1,0,15000.0,61151598.0,0.0,1.0,1.0,1.0
142,32,0,2,2,1,0,12000.0,62185166.0,1.0,1.0,1.0,1.0
143,59,0,1,0,0,1,7000.0,64592177.0,0.0,1.0,1.0,1.0
144,35,0,1,1,1,0,17000.0,67533565.0,0.0,2.0,2.0,2.0
146,26,0,0,0,1,0,8000.0,61234815.0,0.0,1.0,1.0,1.0
147,39,0,1,1,1,0,11000.0,74187392.0,0.0,3.0,3.0,3.0
148,40,1,3,2,1,0,20000.0,74984325.0,0.0,2.0,2.0,2.0
149,57,0,3,0,1,0,7000.0,59963388.0,0.0,1.0,1.0,1.0
150,60,1,1,1,1,0,20000.0,66521201.0,0.0,2.0,2.0,2.0
151,45,1,0,0,1,0,8600.0,66849149.0,0.0,3.0,3.0,3.0
152,40,0,2,2,1,0,45000.0,64359123.0,0.0,1.0,1.0,1.0
153,38,0,1,0,1,0,8000.0,62508107.0,0.0,1.0,1.0,1.0
154,22,0,0,0,1,0,15000.0,61428784.0,0.0,1.0,1.0,1.0
155,49,0,3,0,1,0,12000.0,67316365.0,0.0,2.0,2.0,2.0
156,53,1,1,0,0,1,8500.0,63810875.0,1.0,3.0,3.0,3.0
158,40,1,1,0,1,0,15000.0,66913678.0,0.0,1.0,1.0,1.0
159,57,0,3,0,1,0,17000.0,66584918.0,0.0,3.0,3.0,3.0
160,34,0,0,0,1,0,21000.0,64003837.0,0.0,1.0,1.0,1.0
161,56,1,1,0,1,1,6000.0,63911375.0,1.0,1.0,1.0,1.0
162,32,1,2,2,1,0,15000.0,64437168.0,0.0,1.0,1.0,1.0
163,23,1,0,0,1,0,7000.0,74016494.0,0.0,1.0,1.0,1.0
164,54,1,0,0,0,1,11000.0,67435863.0,0.0,1.0,1.0,1.0
165,33,1,1,1,1,0,6000.0,63891476.0,0.0,1.0,1.0,1.0
166,33,0,1,2,1,0,14000.0,67083166.0,0.0,4.0,4.0,4.0
167,23,0,0,0,1,0,12000.0,61537559.0,0.0,1.0,1.0,1.0
168,34,0,1,1,1,0,20000.0,63604196.0,0.0,1.0,1.0,1.0
169,64,1,2,0,0,1,6000.0,63898906.0,0.0,1.0,1.0,1.0
170,37,1,2,2,1,0,20000.0,66741910.0,0.0,3.0,3.0,3.0
171,44,1,3,0,1,0,12000.0,61974001.0,0.0,1.0,1.0,1.0
172,26,0,1,1,1,0,16000.0,66761419.0,0.0,2.0,2.0,2.0
173,43,1,2,2,1,0,10000.0,67217992.0,0.0,2.0,2.0,2.0
174,49,1,1,0,1,0,15000.0,61367683.0,0.0,1.0,1.0,1.0
176,44,1,1,0,1,0,10000.0,62255169.0,0.0,2.0,2.0,2.0
177,60,1,0,0,1,0,15000.0,63273839.0,0.0,1.0,1.0,1.0
178,34,1,1,1,1,0,10000.0,75289228.0,0.0,1.0,1.0,1.0
179,53,1,0,0,1,0,10000.0,63922027.0,0.0,1.0,1.0,1.0
180,56,1,3,0,1,0,14000.0,74551521.0,0.0,3.0,3.0,3.0
181,49,1,2,1,1,0,7000.0,64367877.0,0.0,1.0,1.0,1.0
182,49,1,0,0,1,0,30000.0,60051963.0,1.0,1.0,1.0,1.0
183,34,1,2,1,0,1,11000.0,61872969.0,0.0,1.0,1.0,1.0
184,41,1,4,2,1,0,9340.0,66741232.0,1.0,3.0,3.0,3.0
185,26,1,0,0,1,0,13000.0,66199923.0,0.0,1.0,1.0,1.0
186,40,1,1,0,1,0,13000.0,60389929.0,0.0,1.0,1.0,1.0
187,42,1,2,1,1,0,7500.0,63001854.0,0.0,1.0,1.0,1.0
188,37,1,1,1,1,0,7000.0,61149628.0,0.0,1.0,1.0,1.0
189,38,1,1,1,1,0,7800.0,75202163.0,0.0,1.0,1.0,1.0
190,45,1,1,1,1,0,7000.0,62032105.0,0.0,1.0,1.0,1.0
191,49,1,2,0,1,0,8200.0,67438464.0,0.0,2.0,2.0,2.0
192,39,1,1,1,1,0,6700.0,61938570.0,0.0,1.0,1.0,1.0
193,36,1,1,1,1,0,80000.0,61466005.0,0.0,2.0,2.0,2.0
194,42,0,2,0,1,0,15000.0,64912588.0,1.0,1.0,1.0,1.0
195,29,0,1,1,1,0,10000.0,63599601.0,0.0,1.0,1.0,1.0
196,45,1,2,0,1,0,20000.0,64886008.0,0.0,1.0,1.0,1.0
197,51,1,2,0,1,0,14000.0,67084430.0,0.0,1.0,1.0,1.0
198,56,1,0,0,1,0,13000.0,60059563.0,0.0,1.0,1.0,1.0
199,33,0,1,1,1,0,16000.0,74481609.0,0.0,1.0,1.0,1.0
200,24,1,0,0,1,0,15000.0,61111134.0,0.0,1.0,1.0,1.0
201,46,0,2,2,1,0,22000.0,61298098.0,1.0,1.0,1.0,1.0
202,39,0,1,1,1,0,30000.0,61309526.0,0.0,1.0,1.0,1.0
203,49,0,2,1,1,0,25000.0,60059582.0,0.0,1.0,1.0,1.0
204,49,1,0,0,1,0,7000.0,74041324.0,0.0,1.0,1.0,1.0
205,49,0,2,0,1,1,20000.0,63002506.0,0.0,1.0,1.0,1.0
206,26,0,1,1,1,0,16000.0,72272351.0,0.0,1.0,1.0,1.0
207,61,0,0,0,0,1,8000.0,67419243.0,0.0,1.0,1.0,1.0
208,42,0,1,1,1,0,22000.0,60106578.0,0.0,1.0,1.0,1.0
210,39,1,1,0,1,0,15000.0,67070426.0,0.0,3.0,3.0,3.0
211,52,1,1,0,1,0,20000.0,62141879.0,0.0,1.0,1.0,1.0
212,38,1,1,1,1,0,11000.0,66534703.0,0.0,2.0,2.0,2.0
213,49,1,1,1,1,0,9000.0,61530018.0,0.0,1.0,1.0,1.0
214,51,1,2,2,0,1,12800.0,63921231.0,0.0,1.0,1.0,1.0
215,60,1,2,0,1,0,7000.0,61538643.0,1.0,1.0,1.0,1.0
216,42,1,1,1,1,0,10500.0,74555752.0,0.0,2.0,2.0,2.0
217,57,1,3,0,0,1,7000.0,65201789.0,0.0,1.0,1.0,1.0
218,41,1,2,1,1,0,20000.0,61164289.0,0.0,1.0,1.0,1.0
220,47,1,2,1,1,0,8000.0,61438860.0,0.0,3.0,3.0,3.0
221,34,1,1,1,1,0,12000.0,62605205.0,1.0,1.0,1.0,1.0
222,32,1,2,2,1,0,5500.0,64346113.0,0.0,1.0,1.0,1.0
223,38,1,2,0,1,0,30000.0,74274221.0,1.0,1.0,1.0,1.0
224,26,1,1,1,1,0,8000.0,65501297.0,0.0,1.0,1.0,1.0
225,39,0,1,1,1,0,18000.0,66521740.0,0.0,4.0,4.0,4.0
226,35,0,1,1,1,0,25000.0,67316223.0,0.0,1.0,1.0,1.0
227,37,0,1,0,1,0,24000.0,61127390.0,0.0,1.0,1.0,1.0
228,22,1,0,0,1,0,10500.0,66077870.0,0.0,1.0,1.0,1.0
229,61,0,2,0,0,1,7000.0,66895275.0,0.0,2.0,2.0,2.0
230,36,0,3,3,1,0,16000.0,61540822.0,0.0,1.0,1.0,1.0
231,27,1,1,1,1,0,9000.0,67533844.0,0.0,2.0,2.0,2.0
232,43,0,1,0,1,0,15000.0,61522740.0,0.0,1.0,1.0,1.0
233,60,1,4,2,1,0,6000.0,74181771.0,0.0,3.0,3.0,3.0
234,38,1,2,2,1,0,9000.0,60383583.0,0.0,1.0,1.0,1.0
235,42,1,2,0,1,0,15000.0,61517342.0,0.0,1.0,1.0,1.0
236,23,0,0,0,1,0,30000.0,64363709.0,1.0,1.0,1.0,1.0
237,31,0,1,1,1,0,15000.0,66849191.0,0.0,3.0,3.0,3.0
238,63,1,0,0,0,1,6000.0,75276828.0,0.0,3.0,3.0,3.0
239,27,1,1,1,1,0,15000.0,61153739.0,1.0,1.0,1.0,1.0
240,39,1,1,1,1,0,18000.0,67217364.0,0.0,3.0,3.0,3.0
241,43,1,2,2,1,0,13000.0,62991727.0,0.0,1.0,1.0,1.0
242,60,1,2,0,0,1,5200.0,61420110.0,0.0,2.0,2.0,2.0
243,33,1,0,0,1,0,20000.0,61378216.0,0.0,1.0,1.0,1.0
244,49,1,1,0,1,0,6000.0,65227755.0,0.0,1.0,1.0,1.0
245,26,0,1,1,1,0,13000.0,60048649.0,0.0,1.0,1.0,1.0
246,38,0,1,1,1,0,12000.0,66964461.0,1.0,1.0,1.0,1.0
247,27,1,1,1,1,0,9000.0,64825946.0,1.0,1.0,1.0,1.0
248,36,1,1,1,1,0,15000.0,66772955.0,0.0,2.0,2.0,2.0
249,42,1,2,1,1,0,12000.0,67323570.0,0.0,1.0,1.0,1.0
251,46,1,0,0,1,0,12650.0,74982312.0,0.0,2.0,2.0,2.0
252,27,0,1,1,1,0,9000.0,61962648.0,0.0,1.0,1.0,1.0
253,43,1,0,0,1,0,40000.0,59961282.0,0.0,1.0,1.0,1.0
254,30,0,1,1,1,0,30000.0,60460976.0,1.0,1.0,1.0,1.0
255,24,1,0,0,1,0,10000.0,65480352.0,0.0,1.0,1.0,1.0
256,41,0,4,4,1,0,11500.0,64429925.0,0.0,1.0,1.0,1.0
258,36,1,0,0,1,0,6000.0,63986316.0,0.0,1.0,1.0,1.0
259,42,0,1,1,1,0,15000.0,63584839.0,1.0,1.0,1.0,1.0
260,56,1,3,0,1,1,30000.0,67423403.0,1.0,1.0,1.0,1.0
262,30,0,2,2,1,0,16000.0,73848706.0,0.0,1.0,1.0,1.0
263,47,1,1,0,1,0,7100.0,66591984.0,0.0,3.0,3.0,3.0
264,53,1,1,0,1,0,6000.0,62377524.0,0.0,1.0,1.0,1.0
266,23,1,1,1,1,0,8000.0,66158890.0,0.0,1.0,1.0,1.0
267,43,0,0,0,1,0,12000.0,61151983.0,0.0,1.0,1.0,1.0
268,37,1,1,1,1,0,29000.0,67148327.0,0.0,2.0,2.0,2.0
270,55,1,2,0,1,0,7000.0,60108759.0,0.0,1.0,1.0,1.0
271,26,1,2,2,1,0,13000.0,75277061.0,0.0,1.0,1.0,1.0
272,58,1,0,0,0,1,6500.0,61456826.0,0.0,2.0,2.0,2.0
273,29,1,1,1,1,0,9000.0,64361215.0,0.0,1.0,1.0,1.0
274,26,1,0,0,1,0,21000.0,66664448.0,1.0,1.0,1.0,1.0
275,34,1,4,4,1,0,5000.0,61128012.0,0.0,1.0,1.0,1.0
276,24,0,0,0,1,0,15000.0,62086372.0,1.0,1.0,1.0,1.0
277,43,1,2,0,1,0,10000.0,67530654.0,0.0,1.0,1.0,1.0
278,37,1,1,1,1,0,7800.0,66431039.0,0.0,2.0,2.0,2.0
279,23,1,0,0,1,0,14000.0,65419884.0,0.0,1.0,1.0,1.0
280,45,0,1,1,1,0,30000.0,62236119.0,0.0,1.0,1.0,1.0
281,49,1,2,0,1,0,12000.0,67140209.0,0.0,2.0,2.0,2.0
282,37,1,1,1,1,0,7000.0,74177264.0,0.0,1.0,1.0,1.0
283,48,1,0,0,1,0,15000.0,63600552.0,0.0,1.0,1.0,1.0
284,42,0,3,2,1,0,30000.0,62248078.0,0.0,2.0,2.0,2.0
286,40,1,0,2,1,0,11000.0,65207556.0,1.0,1.0,1.0,1.0
287,56,1,0,0,1,1,9330.0,61244479.0,0.0,1.0,1.0,1.0
288,36,1,1,1,1,0,16000.0,64279518.0,0.0,1.0,1.0,1.0
289,53,1,2,0,1,0,12000.0,61082604.0,0.0,1.0,1.0,1.0
290,33,0,1,1,1,0,18000.0,67319516.0,0.0,1.0,1.0,1.0
293,54,1,2,0,1,1,21000.0,67170275.0,0.0,3.0,3.0,3.0
294,50,1,2,0,1,0,12000.0,72263345.0,0.0,1.0,1.0,1.0
295,25,1,1,1,1,0,10000.0,66080261.0,0.0,1.0,1.0,1.0
297,26,1,1,1,1,0,7000.0,65413785.0,0.0,1.0,1.0,1.0
298,42,1,2,0,1,0,7850.0,62037803.0,0.0,1.0,1.0,1.0
299,42,0,1,1,1,0,20000.0,73826301.0,0.0,2.0,2.0,2.0
300,54,1,4,1,1,1,6700.0,61832441.0,0.0,1.0,1.0,1.0
301,26,0,0,0,1,0,10000.0,59923612.0,0.0,2.0,2.0,2.0
302,54,1,2,0,1,0,10000.0,66323676.0,0.0,3.0,3.0,3.0
303,26,0,0,0,1,0,15000.0,61381122.0,1.0,1.0,1.0,1.0
304,33,0,1,1,1,0,30000.0,67413927.0,0.0,7.0,7.0,7.0
305,31,0,1,1,1,0,12000.0,66405513.0,0.0,1.0,1.0,1.0
306,25,1,0,0,1,0,8000.0,65416756.0,0.0,2.0,2.0,2.0
307,62,1,3,0,1,1,17000.0,63001956.0,0.0,1.0,1.0,1.0
308,29,1,1,1,1,0,18000.0,60464401.0,0.0,1.0,1.0,1.0
309,46,1,3,1,1,0,13000.0,63915922.0,0.0,1.0,1.0,1.0
310,33,0,1,1,1,0,25000.0,73822653.0,0.0,1.0,1.0,1.0
312,54,1,0,0,1,0,15000.0,74947649.0,0.0,2.0,2.0,2.0
313,54,0,0,0,0,1,15000.0,62794114.0,0.0,1.0,1.0,1.0
314,56,0,0,0,1,1,18000.0,64455108.0,0.0,1.0,1.0,1.0
316,42,0,1,1,1,0,12000.0,61104584.0,0.0,1.0,1.0,1.0
317,39,1,1,1,1,0,35000.0,59925539.0,0.0,1.0,1.0,1.0
318,42,1,2,1,1,0,9000.0,62594920.0,0.0,1.0,1.0,1.0
319,27,1,1,1,1,0,17000.0,66536598.0,1.0,2.0,2.0,2.0
320,39,1,2,2,1,0,35000.0,62505743.0,0.0,1.0,1.0,1.0
322,46,0,2,1,1,0,20000.0,64915501.0,0.0,1.0,1.0,1.0
323,59,1,2,0,0,1,5000.0,62386987.0,0.0,1.0,1.0,1.0
324,24,0,0,0,1,0,20000.0,74952294.0,0.0,2.0,2.0,2.0
325,56,1,1,0,1,1,10000.0,60451886.0,0.0,1.0,1.0,1.0
326,59,1,0,0,0,1,6500.0,62025473.0,0.0,1.0,1.0,1.0
327,47,1,2,1,1,0,8000.0,67028464.0,0.0,3.0,3.0,3.0
328,37,1,1,1,1,0,35000.0,63601542.0,0.0,1.0,1.0,1.0
329,23,1,2,2,1,0,6500.0,66195988.0,0.0,1.0,1.0,1.0
330,58,1,2,0,0,1,6000.0,63602995.0,0.0,1.0,1.0,1.0
331,32,1,0,0,1,0,5000.0,74039205.0,0.0,2.0,2.0,2.0
332,35,1,2,2,1,0,10000.0,67228601.0,0.0,2.0,2.0,2.0
333,45,0,2,1,1,0,15000.0,66748130.0,0.0,2.0,2.0,2.0
334,35,1,1,1,1,0,30000.0,74835083.0,0.0,1.0,1.0,1.0
335,47,0,1,1,1,0,7000.0,61121711.0,0.0,1.0,1.0,1.0
336,43,0,2,2,1,0,10000.0,66925735.0,0.0,1.0,1.0,1.0
337,26,0,2,2,1,0,7000.0,63600601.0,0.0,1.0,1.0,1.0
338,67,1,2,0,1,0,12000.0,63813472.0,0.0,2.0,2.0,2.0
339,44,0,2,2,1,0,8500.0,64832999.0,0.0,1.0,1.0,1.0
340,33,1,2,2,1,0,10000.0,64593619.0,0.0,1.0,1.0,1.0
341,53,1,1,0,1,0,4300.0,74033974.0,0.0,1.0,1.0,1.0
343,40,0,2,2,1,0,13200.0,62375991.0,0.0,1.0,1.0,1.0
344,28,1,1,1,1,0,15000.0,73816704.0,0.0,1.0,1.0,1.0
345,52,1,1,1,1,0,20000.0,61934183.0,0.0,2.0,2.0,2.0
346,40,1,1,1,1,0,15000.0,60442571.0,0.0,1.0,1.0,1.0
347,44,1,1,1,1,0,5000.0,74035080.0,0.0,2.0,2.0,2.0
348,33,0,2,2,1,0,20000.0,64276037.0,0.0,1.0,1.0,1.0
349,44,0,1,0,1,0,15000.0,59925110.0,0.0,1.0,1.0,1.0
350,24,1,1,1,1,0,10000.0,67165268.0,0.0,1.0,1.0,1.0
351,46,0,2,1,1,0,18000.0,61451918.0,0.0,1.0,1.0,1.0
352,61,0,2,0,1,0,25000.0,61099710.0,0.0,1.0,1.0,1.0
353,53,1,1,0,1,1,25000.0,64353970.0,0.0,1.0,1.0,1.0
354,55,1,0,0,1,0,13000.0,66781896.0,0.0,3.0,3.0,3.0
355,35,0,2,2,1,0,8000.0,66967312.0,0.0,1.0,1.0,1.0
356,34,1,2,2,1,0,25000.0,74281522.0,0.0,1.0,1.0,1.0
357,22,0,0,0,1,0,16000.0,61832255.0,0.0,1.0,1.0,1.0
358,33,0,1,1,1,0,10000.0,72279205.0,1.0,1.0,1.0,1.0
359,54,1,0,0,1,0,8000.0,61290106.0,0.0,1.0,1.0,1.0
360,49,0,2,2,1,0,16000.0,61366540.0,0.0,2.0,2.0,2.0
